Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
91,Austin Croshere,PF,31,DAL,61,727,10.9,.463,.410,.234,5.6,24.8,15.4,9.2,1.0,0.6,11.9,17.8,0,0.1,1.1,1.3,.083,0,-2.4,0.0,-2.4,-0.1
92,Eddy Curry,C,24,NYK,81,2849,17.0,.603,.001,.649,8.2,15.5,11.9,4.6,0.6,1.1,18.4,25.5,0,3.1,1.6,4.7,.079,0,-0.8,-2.1,-2.9,-0.6
93,Samuel Dalembert,C,25,PHI,82,2535,16.1,.581,.003,.340,11.3,23.3,17.4,4.2,1.0,4.8,17.5,16.7,0,2.5,3.6,6.2,.117,0,-1.5,2.1,0.6,1.6
94,Erick Dampier,C,31,DAL,76,1915,14.9,.642,.000,.572,14.0,21.5,17.8,3.5,0.7,3.3,20.4,12.8,0,3.3,3.1,6.4,.160,0,0.0,2.0,2.0,1.9
95,Antonio Daniels,SG,31,WAS,80,1761,15.0,.572,.162,.643,1.1,8.9,4.9,24.3,1.1,0.4,12.1,14.2,0,4.1,0.2,4.3,.116,0,0.3,-2.8,-2.6,-0.2
96,Marquis Daniels,SG,26,IND,45,800,11.6,.506,.093,.285,3.7,8.3,5.9,12.6,1.8,0.7,14.8,20.8,0,-0.1,0.7,0.6,.036,0,-2.7,-1.0,-3.7,-0.4
97,Baron Davis,PG,27,GSW,63,2221,21.0,.530,.272,.358,2.5,11.3,6.8,36.9,2.9,1.0,13.9,26.5,0,4.1,2.3,6.4,.139,0,3.5,0.0,3.4,3.1
98,Dale Davis,C,37,DET,46,464,13.2,.486,.000,.351,15.1,20.0,17.5,3.9,1.2,5.7,14.9,10.3,0,0.5,0.8,1.3,.132,0,-2.6,3.1,0.5,0.3
99,Paul Davis,C,22,LAC,31,180,11.2,.452,.000,.192,14.1,15.2,14.6,6.4,1.8,2.2,12.4,16.5,0,0.0,0.2,0.2,.066,0,-3.1,-0.2,-3.4,-0.1
100,Ricky Davis,SF,27,MIN,81,3021,15.9,.566,.285,.262,2.2,10.1,6.2,21.9,1.4,0.6,14.7,21.9,0,3.9,1.9,5.7,.091,0,1.8,-1.0,0.9,2.2
101,Carlos Delfino,SG,24,DET,82,1372,12.8,.515,.367,.237,5.8,17.2,11.5,10.2,1.8,0.5,12.8,16.5,0,1.0,1.9,2.9,.101,0,-0.7,0.4,-0.4,0.6
