Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
66,Sam Cassell,PG,31,MIL,76,2709,20.1,.542,.087,.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,0,7.0,1.4,8.5,.150,0,2.9,-1.9,1.1,2.1
67,Kelvin Cato,C,26,HOU,35,624,13.0,.606,.000,.514,8.9,17.0,13.1,2.8,1.1,3.4,15.5,11.9,0,1.0,0.7,1.7,.128,0,-1.4,0.8,-0.6,0.2
68,Duane Causwell,C,32,MIA,31,384,4.8,.396,.000,.294,7.1,18.6,12.8,2.2,1.1,3.6,19.3,15.0,0,-0.7,0.7,0.0,.002,0,-8.2,1.4,-6.8,-0.5
69,Cedric Ceballos,SF,31,TOT,40,559,15.4,.526,.319,.188,7.1,15.0,11.0,6.9,1.5,0.9,11.4,23.5,0,0.5,0.8,1.3,.114,0,-0.7,-1.5,-2.2,0.0
70,Calbert Cheaney,SG,29,DEN,9,153,4.1,.340,.000,.067,3.5,10.8,7.1,8.6,1.4,0.9,13.9,10.5,0,-0.2,0.1,-0.1,-0.035,0,-5.8,0.1,-5.7,-0.1
71,Chris Childs,PG,33,TOT,77,1859,9.0,.494,.316,.212,1.5,11.2,6.4,29.8,1.7,0.6,29.9,13.3,0,-0.2,2.3,2.2,.057,0,-2.5,0.3,-2.2,-0.1
72,Doug Christie,SG,30,SAC,81,2939,14.8,.538,.317,.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,0,4.3,4.4,8.7,.141,0,1.4,2.3,3.6,4.1
73,Keon Clark,PF,25,TOT,81,1720,15.6,.512,.002,.462,8.6,19.6,14.0,6.8,1.0,6.3,12.6,18.6,0,1.5,2.2,3.7,.104,0,-2.3,2.1,-0.3,0.7
74,Mateen Cleaves,PG,23,DET,78,1268,9.0,.458,.043,.343,2.2,9.1,5.6,26.8,2.0,0.1,23.2,20.5,0,-1.3,1.2,-0.1,-0.006,0,-4.1,-1.0,-5.2,-1.0
75,John Coker,C,29,GSW,6,32,-2.8,.125,.000,.000,9.2,7.2,8.3,8.8,1.6,0.0,20.0,13.2,0,-0.1,0.0,-0.1,-0.192,0,-9.7,-1.4,-11.1,-0.1
76,Derrick Coleman,PF,33,CHH,34,683,13.8,.469,.200,.361,7.7,23.0,15.4,10.2,0.8,2.3,12.4,22.8,0,0.1,1.1,1.2,.082,0,-3.0,-0.3,-3.3,-0.2
77,Bimbo Coles,PG,32,CLE,47,804,9.3,.440,.067,.234,1.3,5.6,3.5,27.9,1.8,0.5,18.3,18.1,0,-0.3,0.3,0.0,.000,0,-3.2,-2.9,-6.1,-0.8
78,Jason Collier,C,23,HOU,23,222,7.4,.435,.014,.338,6.4,12.7,9.6,4.4,0.5,0.9,11.9,19.2,0,-0.1,0.1,0.0,-0.001,0,-5.2,-2.8,-8.0,-0.3
